Nro.,Fecha,Valor de la UFV
1,1 de Enero 2023,2.40918
2,2 de Enero 2023,2.40938
3,3 de Enero 2023,2.40958
4,4 de Enero 2023,2.40978
5,5 de Enero 2023,2.40998
6,6 de Enero 2023,2.41018
7,7 de Enero 2023,2.41038
8,8 de Enero 2023,2.41058
9,9 de Enero 2023,2.41078
10,10 de Enero 2023,2.41098
11,11 de Enero 2023,2.41118
12,12 de Enero 2023,2.41138
13,13 de Enero 2023,2.41158
14,14 de Enero 2023,2.41178
15,15 de Enero 2023,2.41198
16,16 de Enero 2023,2.41218
17,17 de Enero 2023,2.41238
18,18 de Enero 2023,2.41258
19,19 de Enero 2023,2.41278
20,20 de Enero 2023,2.41298
21,21 de Enero 2023,2.41318
22,22 de Enero 2023,2.41338
23,23 de Enero 2023,2.41358
24,24 de Enero 2023,2.41378
25,25 de Enero 2023,2.41398
26,26 de Enero 2023,2.41418
27,27 de Enero 2023,2.41438
28,28 de Enero 2023,2.41458
29,29 de Enero 2023,2.41478
30,30 de Enero 2023,2.41498
31,31 de Enero 2023,2.41518
32,1 de Febrero 2023,2.41540
33,2 de Febrero 2023,2.41562
34,3 de Febrero 2023,2.41584
35,4 de Febrero 2023,2.41606
36,5 de Febrero 2023,2.41628
37,6 de Febrero 2023,2.41650
38,7 de Febrero 2023,2.41672
39,8 de Febrero 2023,2.41694
40,9 de Febrero 2023,2.41716
41,10 de Febrero 2023,2.41738
42,11 de Febrero 2023,2.41760
43,12 de Febrero 2023,2.41782
44,13 de Febrero 2023,2.41804
45,14 de Febrero 2023,2.41826
46,15 de Febrero 2023,2.41848
47,16 de Febrero 2023,2.41870
48,17 de Febrero 2023,2.41892
49,18 de Febrero 2023,2.41914
50,19 de Febrero 2023,2.41936
51,20 de Febrero 2023,2.41958
52,21 de Febrero 2023,2.41980
53,22 de Febrero 2023,2.42002
54,23 de Febrero 2023,2.42024
55,24 de Febrero 2023,2.42046
56,25 de Febrero 2023,2.42068
57,26 de Febrero 2023,2.42090
58,27 de Febrero 2023,2.42112
59,28 de Febrero 2023,2.42134
60,1 de Marzo 2023,2.42154
61,2 de Marzo 2023,2.42174
62,3 de Marzo 2023,2.42194
63,4 de Marzo 2023,2.42214
64,5 de Marzo 2023,2.42234
65,6 de Marzo 2023,2.42254
66,7 de Marzo 2023,2.42274
67,8 de Marzo 2023,2.42294
68,9 de Marzo 2023,2.42314
69,10 de Marzo 2023,2.42334
70,11 de Marzo 2023,2.42351
71,12 de Marzo 2023,2.42368
72,13 de Marzo 2023,2.42385
73,14 de Marzo 2023,2.42402
74,15 de Marzo 2023,2.42419
75,16 de Marzo 2023,2.42436
76,17 de Marzo 2023,2.42453
77,18 de Marzo 2023,2.42470
78,19 de Marzo 2023,2.42487
79,20 de Marzo 2023,2.42504
80,21 de Marzo 2023,2.42521
81,22 de Marzo 2023,2.42538
82,23 de Marzo 2023,2.42555
83,24 de Marzo 2023,2.42572
84,25 de Marzo 2023,2.42589
85,26 de Marzo 2023,2.42606
86,27 de Marzo 2023,2.42623
87,28 de Marzo 2023,2.42640
88,29 de Marzo 2023,2.42657
89,30 de Marzo 2023,2.42674
90,31 de Marzo 2023,2.42691
91,1 de Abril 2023,2.42708
92,2 de Abril 2023,2.42725
93,3 de Abril 2023,2.42742
94,4 de Abril 2023,2.42759
95,5 de Abril 2023,2.42776
96,6 de Abril 2023,2.42793
97,7 de Abril 2023,2.42810
98,8 de Abril 2023,2.42827
99,9 de Abril 2023,2.42844
100,10 de Abril 2023,2.42861
101,11 de Abril 2023,2.42878
102,12 de Abril 2023,2.42895
103,13 de Abril 2023,2.42912
104,14 de Abril 2023,2.42929
105,15 de Abril 2023,2.42946
106,16 de Abril 2023,2.42963
107,17 de Abril 2023,2.42980
108,18 de Abril 2023,2.42997
109,19 de Abril 2023,2.43014
110,20 de Abril 2023,2.43031
111,21 de Abril 2023,2.43048
112,22 de Abril 2023,2.43065
113,23 de Abril 2023,2.43082
114,24 de Abril 2023,2.43099
115,25 de Abril 2023,2.43116
116,26 de Abril 2023,2.43133
117,27 de Abril 2023,2.43150
118,28 de Abril 2023,2.43167
119,29 de Abril 2023,2.43184
120,30 de Abril 2023,2.43201
121,1 de Mayo 2023,2.43217
122,2 de Mayo 2023,2.43233
123,3 de Mayo 2023,2.43249
124,4 de Mayo 2023,2.43265
125,5 de Mayo 2023,2.43281
126,6 de Mayo 2023,2.43297
127,7 de Mayo 2023,2.43313
128,8 de Mayo 2023,2.43329
129,9 de Mayo 2023,2.43345
130,10 de Mayo 2023,2.43361
131,11 de Mayo 2023,2.43378
132,12 de Mayo 2023,2.43395
133,13 de Mayo 2023,2.43412
134,14 de Mayo 2023,2.43429
135,15 de Mayo 2023,2.43446
136,16 de Mayo 2023,2.43463
137,17 de Mayo 2023,2.43480
138,18 de Mayo 2023,2.43497
139,19 de Mayo 2023,2.43514
140,20 de Mayo 2023,2.43531
141,21 de Mayo 2023,2.43548
142,22 de Mayo 2023,2.43565
143,23 de Mayo 2023,2.43582
144,24 de Mayo 2023,2.43599
145,25 de Mayo 2023,2.43616
146,26 de Mayo 2023,2.43633
147,27 de Mayo 2023,2.43650
148,28 de Mayo 2023,2.43667
149,29 de Mayo 2023,2.43684
150,30 de Mayo 2023,2.43701
151,31 de Mayo 2023,2.43718
152,1 de Junio 2023,2.43736
153,2 de Junio 2023,2.43754
154,3 de Junio 2023,2.43772
155,4 de Junio 2023,2.43790
156,5 de Junio 2023,2.43808
157,6 de Junio 2023,2.43826
158,7 de Junio 2023,2.43844
159,8 de Junio 2023,2.43862
160,9 de Junio 2023,2.43880
161,10 de Junio 2023,2.43898
162,11 de Junio 2023,2.43917
163,12 de Junio 2023,2.43936
164,13 de Junio 2023,2.43955
165,14 de Junio 2023,2.43974
166,15 de Junio 2023,2.43993
167,16 de Junio 2023,2.44012
168,17 de Junio 2023,2.44031
169,18 de Junio 2023,2.44050
170,19 de Junio 2023,2.44069
171,20 de Junio 2023,2.44088
172,21 de Junio 2023,2.44107
173,22 de Junio 2023,2.44126
174,23 de Junio 2023,2.44145
175,24 de Junio 2023,2.44164
176,25 de Junio 2023,2.44183
177,26 de Junio 2023,2.44202
178,27 de Junio 2023,2.44221
179,28 de Junio 2023,2.44240
180,29 de Junio 2023,2.44259
181,30 de Junio 2023,2.44278
